time,Fx,Fy,Fz,Mx,My,Mz
193.4,-497069.0,9581.65737,-842960.0,96650.20384999999,-29246371.0,342133.3382
193.6,-368359.0,7516.71972,-771520.0,95830.19600999996,-22609671.0,250693.3382
193.8,-222769.0,5178.344059999999,-667840.0,90380.19164000003,-15403981.0,153783.3382
194.0,-69630.0,2650.51963,-538872.0,81550.18975999998,-7977671.0,56023.3382
194.2,81811.0,28.70639,-392077.0,70760.19050000003,-671871.0,-38556.6618
194.4,223095.0,-2591.7836500000003,-235003.0,59430.18666000001,6200629.0,-127479.6618
194.6,346951.0,-5127.3061099999995,-75113.0,48740.19319000002,12354929.0,-209237.6618
194.8,447637.0,-7471.07884,80540.0,39600.18133000005,17547129.0,-282295.6618
195.0,521161.0,-9555.577860000001,225430.0,32250.197399999946,21581929.0,-346968.039
195.2,565221.0,-11292.152810000001,353670.0,26270.192899999965,24320629.0,-401709.439
195.4,579371.0,-12586.82437,459900.0,21140.206999999995,25672629.0,-444809.439
195.6,564761.0,-13375.09551,539290.0,16070.199599999993,25601629.0,-473329.439
195.8,523991.0,-13603.50364,587730.0,10240.207159999998,24125229.0,-484296.6618
196.0,460801.0,-13248.09268,602080.0,2980.19739999999,21312529.0,-475026.6618
196.2,379621.0,-12303.564769999999,580200.0,-6159.798980000021,17277229.0,-443522.6618
196.4,285279.0,-10796.71824,521340.0,-17349.80739999999,12165629.0,-389249.6618
196.6,182640.0,-8766.947979999999,426160.0,-30409.824800000002,6164629.0,-312906.6618
196.8,76344.0,-6284.37831,297130.0,-44599.830350000004,-499371.0,-217479.6618
197.0,-29283.5,-3460.8587699999994,138610.0,-58799.82883999997,-7554371.0,-108085.6618
197.2,-130436.0,-405.31489,-43084.0,-71749.82512000005,-14682371.0,9303.338199999998
197.4,-223819.0,2740.5992699999997,-239920.0,-82359.82559999998,-21528371.0,127598.3382
197.6,-306729.0,5827.57401,-442360.0,-89769.83081999992,-27710771.0,240094.1152
197.8,-376939.0,8695.840180000001,-639870.0,-93349.83137999999,-32847171.0,340083.1152
198.0,-432369.0,11194.52367,-821410.0,-92859.82968999998,-36560971.0,422226.8552
198.2,-470869.0,13183.323449999998,-975600.0,-88199.83610999997,-38503671.0,482697.3382
198.4,-489828.0,14549.32321,-1091280.0,-79419.83148,-38365171.0,519553.1152
198.6,-485902.0,15217.156739999999,-1157720.0,-66832.82332,-35857471.0,532566.1152
198.8,-455291.0,15153.52895,-1164790.0,-50883.84053,-30724871.0,522646.1152
199.0,-394201.0,14351.38232,-1103290.0,-32791.858309999996,-22742371.0,491726.1152
199.2,-300136.4,12849.74023,-969850.0,-12579.838170000003,-12015371.0,441416.1152
199.4,-173531.0,10712.86479,-767060.0,9940.159969999979,1049629.0,373296.1152
199.6,-18729.0,8051.4051899999995,-501424.0,34150.16139999998,15876629.0,290113.3382
199.8,155312.0,4977.91576,-185470.0,56280.17665000004,31633529.0,194267.1152
200.0,335463.0,1640.85961,161350.0,64490.177139999985,47187629.0,89174.1152
