metric,varying_factor,fixed_level,levels,case_ids,values,relative_to_first_level_percent,monotonic_classification,ascending_value_order_case_ids
branch1_pressure_min_Pa,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[11479406.295841722, 11760186.199971858, 12166284.970404224]","[0.0, 2.4459444756463213, 5.983573164505174]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
branch1_pressure_max_Pa,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[17019656.01717309, 17020464.418941326, 17020022.752470892]","[0.0, 0.004749812613261178, 0.002154775028548134]",nonmonotonic,"[""S_L35_M200"", ""S_L35_M450"", ""S_L35_M325""]"
branch1_pressure_max_Pa,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[17019851.587546214, 17019695.346408445, 17019353.196775656]","[0.0, -0.0009179935381069844, -0.0029282909312966683]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
branch1_pressure_max_Pa,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[17020170.684621293, 17020441.658319637, 17020021.04252129]","[0.0, 0.0015920739184414996, -0.0008792044614324985]",nonmonotonic,"[""S_L45_M450"", ""S_L45_M200"", ""S_L45_M325""]"
branch1_pressure_max_Pa,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[17019656.01717309, 17019851.587546214, 17020170.684621293]","[0.0, 0.0011490853453679725, 0.003023959166299857]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
branch1_pressure_max_Pa,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[17020464.418941326, 17019695.346408445, 17020441.658319637]","[0.0, -0.004518516733451669, -0.000133725033166138]",nonmonotonic,"[""RAC"", ""S_L45_M325"", ""S_L35_M325""]"
branch1_pressure_max_Pa,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[17020022.752470892, 17019353.196775656, 17020021.04252129]","[0.0, -0.003933929495708377, -1.0046693981025254e-05]",nonmonotonic,"[""S_L40_M450"", ""S_L45_M450"", ""S_L35_M450""]"
branch2_pressure_min_Pa,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[11003699.95890246, 11003302.617157655, 11003519.696008582]","[0.0, -0.0036109830901313203, -0.0016382025550604293]",nonmonotonic,"[""S_L35_M325"", ""S_L35_M450"", ""S_L35_M200""]"
branch2_pressure_min_Pa,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[11003603.82796934, 11003680.62669265, 11003848.814115878]","[0.0, 0.000697941551794354, 0.002226417366234804]",nondecreasing,"[""S_L40_M200"", ""RAC"", ""S_L40_M450""]"
branch2_pressure_min_Pa,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[11003446.985572143, 11003313.803584246, 11003520.536480375]","[0.0, -0.0012103660613914124, 0.000668435157896872]",nonmonotonic,"[""S_L45_M325"", ""S_L45_M200"", ""S_L45_M450""]"
branch2_pressure_min_Pa,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[11003699.95890246, 11003603.82796934, 11003446.985572143]","[0.0, -0.0008736237218210418, -0.0022989842622199]",nonincreasing,"[""S_L45_M200"", ""S_L40_M200"", ""S_L35_M200""]"
branch2_pressure_min_Pa,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[11003302.617157655, 11003680.62669265, 11003313.803584246]","[0.0, 0.0034354188751163275, 0.0001016642637246467]",nonmonotonic,"[""S_L35_M325"", ""S_L45_M325"", ""RAC""]"
branch2_pressure_min_Pa,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[11003519.696008582, 11003848.814115878, 11003520.536480375]","[0.0, 0.00299102574802416, 7.638208647647537e-06]",nonmonotonic,"[""S_L35_M450"", ""S_L45_M450"", ""S_L40_M450""]"
branch2_pressure_max_Pa,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[16859094.716403533, 16856651.58945417, 16282926.805577042]","[0.0, -0.014491448031224045, -3.4175495215997116]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
branch2_pressure_max_Pa,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[16857527.296048377, 16860789.799664993, 15787652.123519229]","[0.0, 0.01935339364617789, -6.346572387161078]",nonmonotonic,"[""S_L40_M450"", ""S_L40_M200"", ""RAC""]"
branch2_pressure_max_Pa,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[16858256.698208977, 16077233.470098458, 15145878.565222561]","[0.0, -4.6328825221500765, -10.157504204858492]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
branch2_pressure_max_Pa,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[16859094.716403533, 16857527.296048377, 16858256.698208977]","[0.0, -0.009297179839858175, -0.004970718823596517]",nonmonotonic,"[""S_L40_M200"", ""S_L45_M200"", ""S_L35_M200""]"
branch2_pressure_max_Pa,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[16856651.58945417, 16860789.799664993, 16077233.470098458]","[0.0, 0.024549420084184828, -4.6238015611791505]",nonmonotonic,"[""S_L45_M325"", ""S_L35_M325"", ""RAC""]"
