case_group,case_id,metric,value,RAC_value,change_percent,percent_unavailable_reason
load_decomposition,RC,proxy_frame_fraction,0.0,0.028495250791534744,-100.0,
load_decomposition,RC,roll_phi_rms_deg,0.12362907036860703,0.1607811867737967,-23.10725349817143,
load_decomposition,RC,roll_phi_abs_peak_deg,0.14318694367698756,0.629523989060107,-77.25472799046645,
load_decomposition,RC,roll_p_rms_deg_s,0.023233995304076837,0.12070771044567308,-80.75185485807572,
load_decomposition,RC,roll_p_abs_peak_deg_s,0.03867340915405171,0.8024914273104661,-95.18083211385013,
load_decomposition,RC,buffer_relative_pitch_rms_rad,0.011302492230781417,0.02274643210347487,-50.31092270046701,
load_decomposition,RC,buffer_relative_pitch_abs_peak_rad,0.011554449682344316,0.04491263224289723,-74.27349699778148,
load_decomposition,RC,branch1_stroke_utilization_p95,0.25336398450333064,0.9105575581547505,-72.17485240397389,
load_decomposition,RC,branch1_stroke_utilization_abs_peak,0.2539887609252425,0.9905607470215019,-74.35909289874888,
load_decomposition,RC,branch2_stroke_utilization_p95,0.25754297280903593,0.9293332287855461,-72.2873384022227,
load_decomposition,RC,branch2_stroke_utilization_abs_peak,0.2581790214508697,0.9997618944194286,-74.17594900425799,
load_decomposition,RC,branch1_pressure_min_Pa,14330015.012103425,11182317.957048526,28.148878140876132,
load_decomposition,RC,branch1_pressure_max_Pa,14364170.57694565,17019695.346408445,-15.602657482486453,
load_decomposition,RC,branch2_pressure_min_Pa,12702584.187830307,11003680.62669265,15.4394117638826,
load_decomposition,RC,branch2_pressure_max_Pa,12731151.535692953,16860789.799664993,-24.492555289753344,
load_decomposition,RC,branch1_rope_tension_p95_N,717992.2309481573,836348.3638455358,-14.151535175267895,
load_decomposition,RC,branch1_rope_tension_abs_peak_N,718091.0630732254,850845.5854806274,-15.602657482486823,
load_decomposition,RC,branch2_rope_tension_p95_N,645560.4338854696,760518.5399030717,-15.115753263852527,
load_decomposition,RC,branch2_rope_tension_abs_peak_N,645691.0461649203,855135.6076777729,-24.49255528975402,
load_decomposition,RC,soil_x_displacement_rms_m,0.0006957188327532297,0.08640864499491943,-99.19485043100244,
load_decomposition,RC,soil_x_displacement_abs_peak_m,0.0010133015986304246,0.23833334670911777,-99.57483851394613,
load_decomposition,RC,soil_rotation_rms_rad,0.01097269379830115,0.023794465471623706,-53.885520936006195,
load_decomposition,RC,soil_rotation_abs_peak_rad,0.01122563922389926,0.070062974700602,-83.9777867384743,
load_decomposition,RC,soil_force_x_total_rms_N,1875644.4043718318,3211366.7482100907,-41.59357832868969,
load_decomposition,RC,soil_force_x_total_abs_peak_N,1905844.7616169548,12607581.521226423,-84.88334373719314,
load_decomposition,RC,soil_moment_total_rms_Nm,5640741.927669148,8440718.929406008,-33.172257305976906,
load_decomposition,RC,soil_moment_total_abs_peak_Nm,5727025.630016817,33179091.205775462,-82.73905215034968,
load_decomposition,RC,support_runtime_delta_x_force_rms_N,12661.939288444515,478427.42463583016,-97.35342527697225,
load_decomposition,RC,support_runtime_delta_x_force_abs_peak_N,28737.740954058245,1711493.652641907,-98.32089701824498,
load_decomposition,RC,support_runtime_delta_pitch_moment_rms_Nm,2979591.2696621343,282017297.5973248,-98.94347215754243,
load_decomposition,RC,support_runtime_delta_pitch_moment_abs_peak_Nm,5803523.298842769,944032503.2381368,-99.38524115653476,
load_decomposition,RC,branch1_proxy_endstop_reaction_p95_N,,575878.0243323357,,RAC_denominator_zero_or_nonfinite
load_decomposition,RC,branch1_proxy_endstop_reaction_abs_peak_N,,881833.9660598005,,RAC_denominator_zero_or_nonfinite
load_decomposition,RC,branch2_proxy_endstop_reaction_p95_N,,930299.9482425514,,RAC_denominator_zero_or_nonfinite
load_decomposition,RC,branch2_proxy_endstop_reaction_abs_peak_N,,999002.7056897056,,RAC_denominator_zero_or_nonfinite
load_decomposition,RAC,soil_energy_total_J,9754911.229495715,9754911.229495715,0.0,
load_decomposition,RAC,soil_energy_source_interval_contribution_J,7857376.310705911,7857376.310705911,0.0,
load_decomposition,RAC,soil_energy_proxy_interval_contribution_J,810745.807542214,810745.807542214,0.0,
load_decomposition,RAC,soil_energy_transition_interval_contribution_J,1086789.111247614,1086789.111247614,0.0,
load_decomposition,RAC,source_frame_fraction,0.9715047492084653,0.9715047492084653,0.0,
load_decomposition,RAC,proxy_frame_fraction,0.028495250791534744,0.028495250791534744,0.0,
load_decomposition,RAC,roll_phi_rms_deg,0.1607811867737967,0.1607811867737967,0.0,
load_decomposition,RAC,roll_phi_abs_peak_deg,0.629523989060107,0.629523989060107,0.0,
load_decomposition,RAC,roll_p_rms_deg_s,0.12070771044567308,0.12070771044567308,0.0,
load_decomposition,RAC,roll_p_abs_peak_deg_s,0.8024914273104661,0.8024914273104661,0.0,
load_decomposition,RAC,buffer_relative_pitch_rms_rad,0.02274643210347487,0.02274643210347487,0.0,
load_decomposition,RAC,buffer_relative_pitch_abs_peak_rad,0.04491263224289723,0.04491263224289723,0.0,
load_decomposition,RAC,branch1_stroke_utilization_p95,0.9105575581547505,0.9105575581547505,0.0,
load_decomposition,RAC,branch1_stroke_utilization_abs_peak,0.9905607470215019,0.9905607470215019,0.0,
load_decomposition,RAC,branch2_stroke_utilization_p95,0.9293332287855461,0.9293332287855461,0.0,
load_decomposition,RAC,branch2_stroke_utilization_abs_peak,0.9997618944194286,0.9997618944194286,0.0,
load_decomposition,RAC,branch1_pressure_min_Pa,11182317.957048526,11182317.957048526,0.0,
load_decomposition,RAC,branch1_pressure_max_Pa,17019695.346408445,17019695.346408445,0.0,
load_decomposition,RAC,branch2_pressure_min_Pa,11003680.62669265,11003680.62669265,0.0,
load_decomposition,RAC,branch2_pressure_max_Pa,16860789.799664993,16860789.799664993,0.0,
load_decomposition,RAC,branch1_rope_tension_p95_N,836348.3638455358,836348.3638455358,0.0,
load_decomposition,RAC,branch1_rope_tension_abs_peak_N,850845.5854806274,850845.5854806274,0.0,
load_decomposition,RAC,branch2_rope_tension_p95_N,760518.5399030717,760518.5399030717,0.0,
load_decomposition,RAC,branch2_rope_tension_abs_peak_N,855135.6076777729,855135.6076777729,0.0,
load_decomposition,RAC,soil_x_displacement_rms_m,0.08640864499491943,0.08640864499491943,0.0,
load_decomposition,RAC,soil_x_displacement_abs_peak_m,0.23833334670911777,0.23833334670911777,0.0,
load_decomposition,RAC,soil_rotation_rms_rad,0.023794465471623706,0.023794465471623706,0.0,
load_decomposition,RAC,soil_rotation_abs_peak_rad,0.070062974700602,0.070062974700602,0.0,
load_decomposition,RAC,soil_force_x_total_rms_N,3211366.7482100907,3211366.7482100907,0.0,
load_decomposition,RAC,soil_force_x_total_abs_peak_N,12607581.521226423,12607581.521226423,0.0,
load_decomposition,RAC,soil_moment_total_rms_Nm,8440718.929406008,8440718.929406008,0.0,
load_decomposition,RAC,soil_moment_total_abs_peak_Nm,33179091.205775462,33179091.205775462,0.0,
